nazwa,email,adresWWW,telefon,powiat
Niepubliczny Żłobek Stefanek,marta.lenar@gmail.com,http://www.stefanekprzemysl.pl,602401412,Przemyśl
Żłobek Miejski Nr 3,zlobek3@zlobki.mielec.pl,http://zlobki.mielec.pl/,177874651,Mielecki
Żłobek Parafialny,przedszkoleop@wp.pl,przedszkoleudominikanek.pl,178552068,Rzeszowski
Klub Malucha,bpasieczynska@gmail.com,,660477996,Mielecki
Niepubliczny Żłobek Mała Bajka II,przedszkole@bajka-tarnobrzeg.pl,http://www.bajka-tarnobrzeg.pl,733024646,Tarnobrzeg
Żłobek Gminny w Trzcianie,zlobek.trzciana@swilcza.com.pl,trzciana-zlobek.swilcza.com.pl,178514024,Rzeszowski
Akademia Maluszka Słodki Bobasek s.c,KONTAKT@SLODKIBOBASEK.PL,http://WWW.SLODKIBOBASEK.PL,695761799,Rzeszowski
Żłobek Niepubliczny Kubuś w Zagórzu,januszkrajnik@op.pl,http://www.parafia-tarnawa.pl,692695648,Sanocki
Żłobek Nr 10 RUMCAJS,zlobek10@mzz.resman.pl,mzz.resman.pl,177481144,Rzeszów
Akademia Maluszka Słodki Bobasek,KONTAKT@SLODKIBOBASEK.PL,http://WWW.SLODKIBOBASEK.PL,695761799,Rzeszów
Żłobek Miejski w Stalowej Woli,zlobekmiejski@stalowawola.pl,zlobek-stalowawola.pl,158425709,Stalowowolski
Żłobek Nr 3 KRZYŚ,zlobek3@mzz.resman.pl,mzz.resman.pl,177481124,Rzeszów
Żłobek Miejski Kolorowe Nutki w Krośnie,sekretariat@zmkrosno.pl,zmkrosno.pl,134743980,Krosno
Gminny Żłobek nr 1,zlobek@glogow-mlp.pl,http://zlobek.glogow-mlp.pl/,17856400,Rzeszowski
Żłobek Miejski Nr 5,zlobek5@zlobki.mielec.pl,http://zlobki.mielec.pl/,177874661,Mielecki
Żłobek Miejski Nr 7,zlobek7@zlobki.mielec.pl,http://zlobki.mielec.pl/,177874671,Mielecki
Żłobek Miejski,zlobekdebica@interia.pl,http://www.zlobekdebica.pl,146812414,Dębicki
Niepubliczny Żłobek Nazaret,przedszkolekatolickie@parafiaserbinow.pl,http://zlobek-nazaret.pl/,797592193,Tarnobrzeg
Akademia Malucha,akademia.tbg@wp.pl,,539693220,Tarnobrzeg
MALUSZKOWO,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,608350998,Rzeszów
ŻŁOBEK  SAMORZĄDOWY,psnr1b@wp.pl,http://www.ps1.brzozow.pl,134341254,Brzozowski
MALI ZDOBYWCY,malizdobywcy@op.pl,http://www.malizdobywcy.eu,784533322,Rzeszów
Miejsko - Gminny Żłobek w Kańczudze,mgpkanczuga@op.pl,,166423870,Przeworski
Miejskie Przedszkole Nr 1,sekretariat@mp1.jaroslaw.pl,http://www.mp1.jaroslaw.pl/,166271366,Jarosławski
Miejskie Przedszkole Nr 10,sekretariat@mp10.jaroslaw.pl,http://www.dziesiateczka.jaroslaw.pl,166216624,Jarosławski
Żłobek Maluszek w Błażowej,maluszek@blazowa.com.pl,http://www.maluszek.blazowa.com.pl,17/2305217,Rzeszowski
Żłobek Samorządowy,zlobekstrzyzow@wp.pl,http://www.zlobek-strzyzow.pl,533572429,Strzyżowski
GMINNY ŻŁOBEK IM. JANUSZA KORCZAKA W MIEJSCU PIASTOWYM,zlobek@miejscepiastowe.pl,http://www.zlobek-miejscepiastowe.pl,690450316,Krośnieński
Prywatny Żłobek Zielony Motylek,juliaszargut@zielonymotylek.pl,http://WWW.ZIELONYMOTYLEK.PL,698540532,Rzeszów
Żłobek Gminny w Bratkowicach,zlobek.bratkowice@swilcza.com.pl,www:przedszkolebratkowice.edupage.org,178551434,Rzeszowski
Niepubliczny Żłobek Klasa Bobasa,zlobek.tyczyn@gmail.com,http://www.zlobek-tyczyn.pl,575976900,Rzeszowski
Żłobek Miejski Kolorowe Nutki w Krośnie,sekretariat@zmkrosno.pl,zmkrosno.pl,134743980,Krosno
Niepubliczny Żłobek MAGICZNY ŚWIAT MALUCHA,sekretariat@magicznyswiatmalucha.pl,http://www.zlobekmagicznyswiatmalucha.pl,605173020,Rzeszów
Domowy Żłobek Bejbuś,bejbus-ostrow@o2.pl,https://www.facebook.com/bejbus.ostrow,731913408,Przemyski
Zespół Klubów Dziecięcych Żłobkowe Krasnale Klub Dziecięcy Żłobkowe Krasnale I,krasnale.strzyzow@gmail.com,http://www.ekrasnale.pl,665211852,Strzyżowski
Klub Dziecięcy Bajkolandia,l.bajkolandia@interia.pl,http://bajkolandia.lezajsk.pl/,535084567,Leżajski
Żłobek MISIETULISIE A. Stopyra K. Krawczyk s.c.,misietulisie.klubmalucha@o2.pl,,530900333,Rzeszowski
Żłobek Niepubliczny KUBUŚ w Zagórzu Filia w Tarnawie Dolnej,januszkrajnik@op.pl,http://www.parafia-tarnawa.pl,692695648,Sanocki
Słoneczko,dyrektor@zlobek.hyzne.pl,http://www.hyzne.pl,172295275,Rzeszowski
Żłobek Tygrysek w Łańcucie,tygrysekbiuro@gmail.com,http://www.tygrysek-przedszkole.pl,785195063,Łańcucki
Żłobek Maluszkowo,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,535510555,Rzeszowski
Publiczny Żłobek w Czudcu,Zlobek@czudec.pl,http://www.zlobekczudec.pl,172508515,Strzyżowski
MALUSZKOWO PRIMUS,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,535050555,Rzeszów
Gminny Złobek im.Matki Anny Kaworek w Łężanach,zlobek@miejscepiastowe.pl,zlobek-miejscepiastowe.pl,504793751,Krośnieński
klub dziecięcy Jagódka,edytalenar@interia.pl,,505985085,Przemyśl
Gminny Żłobek nr 3,zlobek@glogow-mlp.pl,http://zlobek.glogow-mlp.pl/,177897220,Rzeszowski
Żłobek Miejski Nr 1 w Łańcucie,zlobek1lancut@wp.pl,,172252144,Łańcucki
Niepubliczny Żłobek Krasnal,sylwia.wojcik@begg.pl,http://www.krasnal-przedszkole.pl/,695990440,Tarnobrzeski
Klub Dziecięcy Stefanek,marta.lenar@gmail.com,http://www.stefanekprzemysl.pl,602401412,Przemyśl
Niepubliczny Żłobek Mistrzowie Zabawy,jolanta.kordas.mistrzowiezabawy@gmail.com,https://www.przedszkolemistrzowiezabawy.mielec.pl/,506581688,Mielecki
Prywatny Żłobek LEŚNE LUDKI,zlobeklesneludki@gmail.com,http://www.lesneludki-rzeszow.com,606668035,Rzeszów
Niepubliczny Żłobek Wesoły Bobas Anna Stypa,kontakt@wesolybobas.pl,http://www.wesolybobas.pl,605625888,Mielecki
Żłobek Nr 7 CALINECZKA,zlobek7@mzz.resman.pl,mzz.resman.pl,177481940,Rzeszów
Żłobek Miejski w Nowej Dębie,zlobekmiejski@nd.naszzlobek.com,http://p5nowadeba.edupage.org,158462044,Tarnobrzeski
"Żłobek ,Jaś i Małgosia",jasimalgosialancut@gmail.com,jas-malgosia.com,609214208,Łańcucki
Wesołe Perełki,kontakt@wesoleperelki.pl,http://www.wesoleperelki.pl,691275400,Rzeszów
Tygrysek s.c. Elżbieta Walawender i Maria Golenia,tygrysekbiuro@gmail.com,http://www.tygrysek-przedszkole.pl,"785195063,600710655",Łańcucki
Klub Dziecięcy Angelandia,coird.awagner@gmail.com,,721703904,Krośnieński
Żłobek Miejski w Ropczycach,zlobekropczyce@interia.pl,http://www.zlobekropczyce.eu,172212541,Ropczycko-sędziszowski
żłobek Mali Odkrywcy,zuraweljoanna@gmail.com,http://www.maliodkrywcy.przemysl.pl,663061285,Przemyśl
Gminny Żłobek nr 2,zlobek@glogow-mlp.pl,http://zlobek.glogow-mlp.pl/,177897210,Rzeszowski
Kraina Maluszka,s.s.ostoja@gmail.com,http://www.zlobek-krainamaluszka.pl,883633030,Przemyśl
UCZELNIANE MALUSZKOWO,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,535383555,Rzeszów
Żłobek Nr 5  KAROLINKA,zlobek5@mzz.resman.pl,mzz.resman.pl,177483478,Rzeszów
Filia Żłobka Miejskiego Nr 3 w Mielcu,filiazlobek3@zlobki.mielec.pl,http://zlobki.mielec.pl/,177874655,Mielecki
ŻŁOBEK MIEJSKI W RUDNIKU NAD SANEM,zlobekmiejski@rudnik.pl,https://www.facebook.com/%C5%BB%C5%82obek-Miejski-w-Rudniku-nad-Sanem-642152426159160/,156492077,Niżański
Żłobek Miejski w Ropczycach,tobiasza@zojoropczyce.pl,http://www.zlobekropczyce.eu,172212541,Ropczycko-sędziszowski
PTASIE RADIO,zlobek.ptasieradio@op.pl,http://www.zlobekptasieradio.pl,668640383,Rzeszów
ŻŁOBEK KRAINA SZCZĘŚCIA,biuro@krainaszczescia.edu.pl,http://www.krainaszczescia.edu.pl,172000660,Rzeszów
Żłobek Samorządowy Nr 1,dyrektor@zlobek1.sanok.pl,http://www.zs1-sanok.ires.pl,134633443,Sanocki
Niepubliczny Żłobek U Michalitek,jasloszkolna@michalitki.pl,,797907033,Jasielski
Samorządowy Żłobek w Jedliczu,zlobek@jedlicze.pl,zlobek.jedlicze.pl,133061380,Krośnieński
Żłobek Gminny w Brzeźnicy,zlobek.brzeznica@gzeas.pl,brzeznica.ugdebica.pl,146815263,Dębicki
Żłobek Radosne Słoneczko,nspsolonka@gmail.com,,882171777,Rzeszowski
RAMTAMTAM,zlobekramtamtam@gmail.com,http://www.zlobekramtamtam.pl,570347299,Przemyśl
Żłobek Miejski Kolorowe Nutki w Krośnie,sekretariat@zmkrosno.pl,zmkrosno.pl,134743980,Krosno
Zielona Dolina,wssg@vp.pl,http://www.wssgprzeworsk.edu.pl,721207300,Przeworski
Logopedyczny Punkt Przedszkolny i Żłobek SOKOLIK,biuro@sokolik.edu.pl,http://www.sokolik.edu.pl,575246624,Rzeszowski
Niepubliczny Żłobek Bajkowa Akademia,akademia.bajkowa@gmail.com,http://www.bajkowa-akademia.com,785808055,Mielecki
Żłobek Kurki Trzy,biuro@kurkitrzy.pl,http://www.kurkitrzy.pl,787484899,Rzeszów
Żłobek Nr 11 SŁONECZKO,zlobek11@mzz.resman.pl,mzz.resman.pl,177481132,Rzeszów
Żłobek Samorządowy w Wiśniowej,zlobek@wisniowa.pl,http://www.zlobekwisniowa.pl,173333141,Strzyżowski
żłobek Jagódka,edytalenar@interia.pl,,505985085,Przemyśl
Gminny Żłobek w Dąbkowie Kraina Malucha,zlobek@lubaczow.com.pl,http://www.gminalubaczow.pl,731966559,Lubaczowski
Żłobek Miejski w Ustrzykach Dolnych,zlobekmiejski@ustrzyki-dolne.pl,zlobekmiejski.ustrzyki-dolne.pl,134939556,Bieszczadzki
Kraina marzeń,krainamarzen144@gmail.com,http://www.krainamarzen-buszkowice.pl,506164873,Przemyski
klub dziecięcy 'RAMTAMTAM,zlobekramtamtam@gmail.com,http://www.zlobekramtamtam.pl,570347299,Przemyśl
LISEK URWISEK,biuro@zlobek.rzeszow.pl,http://www.zlobek.rzeszow.pl,537507987,Rzeszów
Niepubliczny żłobek Wesoły maluszek,wesoly.maluszek@wp.pl,,794093538,Stalowowolski
Żłobek MALUSZKOWO,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,533324705,Dębicki
Żłobek Miejski Kolorowe Nutki w Krośnie,sekretariat@zmkrosno.pl,zmkrosno.pl,134743980,Krosno
Żłobek Maluszkowo,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,509555440,Rzeszowski
Prywatny Żłobek Bajkowy Zakątek,wcabaj@vp.pl,http://www.bajkowyzakatek.rzeszow.pl,693462302,Rzeszów
Żłobek Nr 8 KAJTEK,zlobek8@mzz.resman.pl,mzz.resman.pl,177481128,Rzeszów
Niepubliczny Żłobek Słoneczny Zakątek,przedszkole_slonecznyzakatek@wp.pl,http://www.slonecznyzakatek-kolbuszowa.pl/,533038500,Kolbuszowski
Żłobek Maluszkowo 2,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,517525555,Rzeszowski
Niepubliczny Żłobek OMNIBUSEK,omnibusek.elbast@o2.pl,http://www.omnibusek.eu,783140227,Przemyśl
Żłobek Miejski Nr 2 w Łańcucie,zlobek2lancut@wp.pl,,172253068,Łańcucki
Niepubliczny Żłobek WESOŁEK,wesolekropczyce@gmail.com,http://www.wesolek-ropczyce.pl,500267768,Ropczycko-sędziszowski
Żłobek Nr 1 WESOŁY MIŚ,zlobek1@mzz.resman.pl,mzz.resman.pl,177481120,Rzeszów
NIEPUBLICZNY ŻŁOBEK ENTLICZEK PENTLICZEK,entliczekipentliczek@gmail.com,https://entliczek-pentliczek.net.pl/,667193213,Rzeszów
Żłobek PICCOLO,poczta@piccolo.edu.pl,http://www.piccolo.edu.pl,661655677,Rzeszowski
Żłobek Fotonik,przedszkole.fotonik@gmail.com,,605857756,Leski
Samorządowy Żłobek w Raniżowie,zlobek@ranizow.pl,http://www.ranizow.pl,783191888,Kolbuszowski
Niepubliczny Żłobek Guziczek,kontakt@zlobek-guziczek.pl,http://www.zlobek-krosno.pl,662828983,Krosno
Żłobek Maluszkowo,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,500055518,Strzyżowski
Żłobek Pałacyk Malucha,debica@palacykmalucha.com.pl,http://www.debica.palacykmalucha.pl/kontakt,603097886,Dębicki
Akademia Małego Odkrywcy,klubmalucha.amo@wp.pl,,723779902,Leżajski
Zespół Żłobków Gminy Łańcut (Gminny Żłobek w Kosinie),zlobek.kosina@gminalancut.pl,zlobek-kosina.gminalancut.pl,721860863,Łańcucki
Niepubliczny Żłobek Radosny Maluszek,zlobek1.radomyslwielki@interia.pl,http://www.nasza-gmina.org,146820705,Mielecki
NIEPUBLICZNY ŻŁOBEK KRASNOLUDEK,krasnoludekzlobek@gmail.com,,729831281,Rzeszowski
NIEPUBLICZNY ŻŁOBEK TĘCZOWA DOLINA W PILŹNIE,teczowadolina@poczta.fm,http://teczowadolina-brzostek.pl/,530189678,Dębicki
MUSIC GARDEN AGATA TKACZOW,przedszkolakimuzyczne@gmail.com,http://www.przedszkolemuzyczne.edu.pl,518239319,Rzeszów
Żłobek Baltima Montessori,baltima.poczta@gmail.com,https://www.przedszkole-baltima.pl/,579809896,Dębicki
Samorządowy ŻŁobek w Gorzycach,zlobekgorzyce@wp.pl,http://www.zlobekgorzyce.szkolnastrona.pl,785375737,Tarnobrzeski
Żłobek Samorządowy w Hadlach Szklarskich,dyrektor@gzzjawornikpolski.pl,http://www.jawornikpolski.itl.pl,506246580,Przeworski
Żłobek nr 6 KOTEK PSOTEK,zlobek6@mzz.resman.pl,mzz.resman.pl,177481142,Rzeszów
Żłobek Misie Tulisie Stalowa Wola,dyrektor.stalowawola@misietulisie.edu.pl,https://www.misietulisie.edu.pl,536000281,Stalowowolski
Niepubliczny Żłobek  Tęczowe Misie 2,kontakt@teczowe-misie.pl,teczowe-misie.pl,728148655,Stalowowolski
Samorządowy Żłobek Psotna Andzia w Przecławiu,sekretariat.zlobek@przeclaw.org,http://www.przeclaw.naszzlobek.com,177493797,Mielecki
Gminny Żłobek nr 5,zlobek@glogow-mlp.pl,http://zlobek.glogow-mlp.pl/,177776471,Rzeszowski
Zespół Klubów Dziecięcych Klub Dziecięcy Żłobkowe Krasnale II,krasnale.podkarpacie@wp.pl,http://www.ekrasnale.pl,533155622,Strzyżowski
Niepubliczny Żłobek Kraina Odkrywcy II,liberato.spolka@gmail.com,,793481663,Rzeszów
Gminny Żłobek w Żyrakowie,zlobek@zyrakow.pl,http://www.zlobekzyrakow.pl,146876316,Dębicki
Niepubliczny Klub Dziecięcy Bajkowa Akademia Bobasa,agatazmuda@weldonkids.pl,,697770692,Dębicki
Sieniawskie skrzaty,cezary@e-cezar.pl,sieniawa.org,693105726,Przeworski
Niepubliczny Żłobek Tęczowy Świat Maluszka,ewamatyka@interia.pl,,691146730,Stalowowolski
Niepubliczny żłobek Wesoły maluszek II,wesoly.maluszek@wp.pl,,502595506,Stalowowolski
Samorządowy Żłobek w Tarnowcu,zlobek@tarnowiec.eu,zlobek.tarnowiec.eu,134255505,Jasielski
NIEPUBLICZNY ZESPÓŁ ŻŁOBKOWO PRZEDSZKOLNY MUSIC GARDEN,muzycznemaluchy@gmail.com,http://www.przedszkolemuzyczne.edu.pl,504827961,Rzeszowski
Niepubliczny Żłobek Przystań Malucha Małgorzata Rytarowska,przystan.malucha@gmail.com,http://www.przystanmalucha.pl,534226627,Rzeszów
